IAB101-Con_BS,IAB101-DL_app,IAB101-DL_CQI,IAB101-UL_app,IAB101-UL_CQI,IAB102-Con_BS,IAB102-DL_app,IAB102-DL_CQI,IAB102-UL_app,IAB102-UL_CQI,IAB103-Con_BS,IAB103-DL_app,IAB103-DL_CQI,IAB103-UL_app,IAB103-UL_CQI,IAB104-Con_BS,IAB104-DL_app,IAB104-DL_CQI,IAB104-UL_app,IAB104-UL_CQI,IAB105-Con_BS,IAB105-DL_app,IAB105-DL_CQI,IAB105-UL_app,IAB105-UL_CQI,IAB106-Con_BS,IAB106-DL_app,IAB106-DL_CQI,IAB106-UL_app,IAB106-UL_CQI,IAB107-Con_BS,IAB107-DL_app,IAB107-DL_CQI,IAB107-UL_app,IAB107-UL_CQI,IAB108-Con_BS,IAB108-DL_app,IAB108-DL_CQI,IAB108-UL_app,IAB108-UL_CQI,IAB109-Con_BS,IAB109-DL_app,IAB109-DL_CQI,IAB109-UL_app,IAB109-UL_CQI,IAB110-Con_BS,IAB110-DL_app,IAB110-DL_CQI,IAB110-UL_app,IAB110-UL_CQI
110,16,12,60,12,110,1,10,5,10,110,1,11,5,11,110,5,11,20,11,110,4,11,15,11,110,19.5,12,57.5,12,110,11.5,15,47.5,15,110,8.5,12,32.5,12,110,8,10,30,10,-1,13,14,40,12
110,5.5,10,27.5,10,110,7,13,25,13,110,0,15,0,15,110,6,15,20,15,110,11.5,14,52.5,14,110,10.5,15,37.5,15,110,13.5,13,42.5,13,110,3.5,14,12.5,14,110,23.5,13,72.5,13,-1,6.5,15,22.5,14
110,6.5,15,17.5,15,110,10.5,12,32.5,12,110,19,15,65,15,110,7.5,15,27.5,15,110,11,13,45,13,110,1.5,13,7.5,13,110,4,12,15,12,110,9,13,35,13,110,8.5,13,32.5,13,-1,10,15,35,14
110,10.5,12,42.5,12,110,13.5,15,42.5,15,110,1.5,11,7.5,11,110,4.5,11,17.5,11,110,3,15,10,15,110,10.5,12,37.5,12,110,7.5,10,27.5,10,110,7.5,13,32.5,13,110,19,15,60,15,-1,10,14,35,12
110,11.5,10,52.5,10,110,13,15,40,15,110,0.5,14,2.5,14,110,10.5,15,37.5,15,110,2.5,14,7.5,14,110,19,11,65,11,110,12,11,40,11,110,9,15,30,15,110,7.5,13,27.5,13,-1,2,15,10,15
110,2,10,10,10,110,7,15,25,15,110,10,14,30,14,110,25,13,75,13,110,12,9,50,9,110,2.5,15,7.5,15,110,4,10,20,10,110,3,10,15,10,110,14.5,12,57.5,12,-1,7.5,15,22.5,14
110,3.5,15,12.5,15,110,13,11,40,11,110,6.5,13,22.5,13,110,7,12,30,12,110,15.5,13,52.5,13,110,3.5,12,12.5,12,110,15,11,55,11,110,10.5,13,37.5,13,110,4.5,15,17.5,15,-1,8.5,15,32.5,13
110,21.5,12,67.5,12,110,8,12,25,12,110,4.5,13,17.5,13,110,13,15,50,15,110,2,11,10,11,110,6,11,20,11,110,5,13,25,13,110,15.5,15,57.5,15,110,0.5,13,2.5,13,-1,11.5,15,37.5,13
110,10,15,40,15,110,21.5,13,62.5,13,110,6,15,25,15,110,2.5,12,7.5,12,110,4.5,12,17.5,12,110,2,12,10,12,110,0.5,14,2.5,14,110,13,14,50,14,110,20.5,15,67.5,15,-1,7,15,30,13
110,5,15,20,15,110,5.5,15,17.5,15,110,17.5,12,62.5,12,110,3.5,15,17.5,15,110,2.5,15,7.5,15,110,10,11,35,11,110,8,13,30,13,110,22,10,70,10,110,10,15,35,15,-1,3.5,15,17.5,13
110,1.5,10,7.5,10,110,3.5,10,12.5,10,110,7.5,10,32.5,10,110,7.5,11,27.5,11,110,10,12,35,12,110,10,10,35,10,110,17.5,14,57.5,14,110,4,10,15,10,110,14.5,11,52.5,11,-1,11.5,15,37.5,13
110,4.5,15,17.5,15,110,16,12,60,12,110,6,14,25,14,110,17.5,14,57.5,14,110,14,11,55,11,110,1,13,5,13,110,11,14,35,14,110,1,15,5,15,110,6.5,15,22.5,15,-1,10,15,30,15
110,10,12,30,12,110,10.5,15,37.5,15,110,14,12,50,12,110,6.5,13,27.5,13,110,8,15,30,15,110,10,15,40,15,110,4.5,15,17.5,15,110,14,15,50,15,110,10,12,30,12,-1,0,0,0,0
110,4,13,15,13,110,0.5,10,2.5,10,110,15,10,45,10,110,1.5,10,7.5,10,110,2.5,14,12.5,14,110,14,15,50,15,110,13.5,15,47.5,15,110,19.5,11,62.5,11,110,13,11,55,11,-1,4,15,15,14
110,5.5,13,22.5,13,110,10.5,14,37.5,14,110,10,11,40,11,110,5,12,15,12,110,8.5,15,27.5,15,110,13,12,45,12,110,16.5,12,57.5,12,110,2,13,10,13,110,8.5,13,27.5,13,-1,8,15,30,13
